"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","BUZZY","ONE","ZDC","2021/02/25","N","BUZZY.BUZZY1","RDU"
"2025/11/27","BONNEVILLE","TWO","ZLC","2016/03/31","N","BVL.BVL2","SLC"
"2025/11/27","CAINE","TWO","ZFW","2015/06/25","Y","CAINE.CAINE2","DFW"
"2025/11/27","DAWGZ","TWO","ZFW","2015/06/25","Y","CAINE.DAWGZ2","DFW"
"2025/11/27","CAMET","THREE","ZFW","2017/12/07","Y","CAMET.CAMET3","OKC"
"2025/11/27","DAWKS","ONE","ZFW","2014/07/24","Y","CAMET.DAWKS1","OUN PWA TIK"
"2025/11/27","CAMPS","FOUR","ZHN","2023/10/05","N","CAMPS.CAMPS4","OGG"
"2025/11/27","STELA","ONE","ZBW","2025/11/27","Y","CANAN.STELA1","BAF BDL CEF HFD ORH"
"2025/11/27","RAVNN","EIGHT","ZDC","2025/04/17","Y","CAPKO.RAVNN8","BWI MTN"
"2025/11/27","CARTR","ONE","ZLC","2025/02/20","Y","CARTR.CARTR1","SLC"
"2025/11/27","NOBBI","ONE","ZNY","2025/11/27","Y","CASSH.NOBBI1","DXR HPN LGA"
"2025/11/27","LIBER","FIVE","ZAN","2023/10/05","Y","CAWIN.LIBER5","FAI"
"2025/11/27","CONCORD","TWO","ZOA","2012/11/15","N","CCR.CCR2","SMF"
"2025/11/27","CDOGG","FOUR","ZBW","2021/06/17","Y","CDOGG.CDOGG4","PWM"
"2025/11/27","CEGRM","SEVEN","ZID","2025/06/12","Y","CEGRM.CEGRM7","CVG"
"2025/11/27","CESAN","FOUR","ZHU","2017/06/22","Y","CESAN.CESAN4","54T ARM AXH BYY CXO EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41"
"2025/11/27","CHAKA","FOUR","ZSU","2011/01/13","Y","CHAKA.CHAKA4","SJU"
"2025/11/27","CHINS","FIVE","ZSE","2022/09/08","N","CHINS.CHINS5","BFI PAE RNT SEA"
"2025/11/27","CHOWW","FOUR","ZLA","2025/08/07","Y","CHOWW.CHOWW4","LAS"
"2025/11/27","CHPPR","ONE","ZTL","2017/10/12","Y","CHPPR.CHPPR1","ATL"
"2025/11/27","CHSLY","SIX","ZTL","2024/05/16","Y","CHSLY.CHSLY6","CLT"
"2025/11/27","CHSNE","THREE","ZME","2025/10/02","Y","CHSNE.CHSNE3","BNA"
"2025/11/27","CLANG","SEVEN","ZID","2017/04/27","N","CLANG.CLANG7","EYE IND MQJ"
"2025/11/27","CLASH","FIVE","ZDV","2025/06/12","Y","CLASH.CLASH5","DEN"
"2025/11/27","CLIPR","THREE","ZDC","2023/08/10","Y","CLIPR.CLIPR3","DCA"
"2025/11/27","CLMNT","TWO","ZMA","2022/05/19","Y","CLMNT.CLMNT2","06FA BCT F45 PBI"
"2025/11/27","CLOWD","ONE","ZLA","2005/05/12","N","CLOWD.CLOWD1","PSP TRM UDD"
"2025/11/27","CLPRR","THREE","ZID","2024/12/26","Y","CLPRR.CLPRR3","CMH LCK OSU TZR"
"2025/11/27","COATT","FIVE","ZDC","2017/12/07","N","COATT.COATT5","IAD"
"2025/11/27","LEDDL","ONE","ZID","2024/07/11","Y","COBBZ.LEDDL1","JVY LOU SDF"
"2025/11/27","COKTL","FOUR","ZLA","2024/10/31","Y","COKTL.COKTL4","LAS"
"2025/11/27","COLTR","FOUR","ZAB","2021/12/02","Y","COLTR.COLTR4","ABQ"
"2025/11/27","COMIX","TWO","ZLA","2018/05/24","Y","COMIX.COMIX2","SAN"
"2025/11/27","CONDR","FOUR","ZME","2024/10/31","Y","CONDR.CONDR4","MEM"
"2025/11/27","COYOT","FIVE","ZAB","2020/07/16","N","COYOT.COYOT5","PHX"
"2025/11/27","CPTAN","THREE","ZMA","2024/01/25","Y","CPTAN.CPTAN3","06FA BCT FXE PBI PMP"
"2025/11/27","CEDAR CREEK","THREE","ZFW","2024/07/11","N","CQY.CQY3","DFW"
"2025/11/27","CRAKN","TWO","ZOB","2019/10/10","Y","CRAKN.CRAKN2","DTW"
"2025/11/27","HTROD","TWO","ZOB","2019/10/10","Y","CRAKN.HTROD2","DTW"
"2025/11/27","CRAZI","FOUR","ZLC","2023/04/20","Y","CRAZI.CRAZI4","BIL"
"2025/11/27","POWDA","ONE","ZLC","2024/07/11","Y","CREKK.POWDA1","BZN"
"2025/11/27","CRESO","FIVE","ZLA","2022/01/27","N","CRESO.CRESO5","LAS"
"2025/11/27","CRVZA","TWO","ZHU","2025/11/27","Y","CRVZA.CRVZA2","5C1 BAZ CVB PEZ RND SAT SKF SSF"
"2025/11/27","CENTERPOINT","THREE","ZHU","2025/08/07","N","CSI.CSI3","RND SAT SKF SSF"
"2025/11/27","CSTAL","THREE","ZMA","2025/06/12","Y","CSTAL.CSTAL3","07FA HST MIA TMB X51"
"2025/11/27","CURLY","THREE","ZAB","2017/03/02","N","CURLY.CURLY3","ABQ AEG"
"2025/11/27","JESEY","FIVE","ZOB","2024/12/26","Y","CUTTA.JESEY5","PIT"
"2025/11/27","CUUDA","THREE","ZMA","2024/01/25","Y","CUUDA.CUUDA3","FLL OPF"
"2025/11/27","CUURT","ONE","ZMA","2023/06/15","Y","CUURT.CUURT1","OPF"
"2025/11/27","DADES","TWO","ZMA","2025/04/17","Y","DADES.DADES2","CLW MCF PIE SPG TPA TPF VDF"
"2025/11/27","DANDD","ONE","ZDV","2020/01/30","N","DANDD.DANDD1","APA BJC BKF CFO DEN FNL GXY"
"2025/11/27","DAWGG","TWO","ZME","2014/05/29","N","DAWGG.DAWGG2","MEM"
"2025/11/27","DEEPO","TWO","ZBW","2025/04/17","Y","DEEPO.DEEPO2","ACK"
"2025/11/27","DEKAL","NINE","ZMA","2024/12/26","N","DEKAL.DEKAL9","FLL FXE HWO OPF PMP"
"2025/11/27","DELMA","FOUR","ZKC","2018/11/08","Y","DELMA.DELMA4","ALN BLV CPS SUS"
